1075	1100	1125	1150	1170	1175
266	250.55	231.05	207.15	192.35	188.65
267.6	247.65	228	208.9	193.9	190.3
269.4	249.3	229.7	210.55	195.55	191.9
266.15	246.2	227.5	208.55	193.75	190.05
266.15	246.2	227.5	208.55	193.75	190.05
279.25	256.55	236.6	220.6	201.9	198.3
263.9	243.65	224.1	205.05	190.3	186.65
261.15	241.2	221.75	202.8	188	184.35
238	221.45	200.25	182.2	168.15	164.65
236.9	216.4	199.05	181	166.95	163.6
241.6	222.85	203.75	185.1	170.75	167.4
262.5	242.5	223.5	203.75	188.8	185.05
264.85	244.65	224.5	205.25	190.2	186.55
275.6	255.25	235.1	215.25	199.7	196.3
257.85	237.9	218.25	199.45	184.7	180.85
274.2	253.8	233.85	214.35	199.3	195.55
267.8	247.85	228	208.65	193.6	190.1
278.95	258.75	238.55	218.2	203	198.75
286.85	266.05	245.45	225.45	210	206.1
286.5	265.8	244.9	224.7	209.1	205.15
294.8	273.8	253.3	232.45	216.45	212.65
292.8	271.8	250.55	229.85	213.75	210.2
267.55	246.9	226.95	207	191.75	188.05
271.2	250	229.85	209.9	194.25	190.4
255.7	235.55	215.4	195.9	180.8	177.1
262.4	240.75	221.4	201.75	186.4	182.75
270.75	249.85	229.55	209.5	194.15	190.55
267.25	246.25	225.8	205.9	191.15	186.55
294.2	272.7	251.5	230.8	214.5	210.5
294.15	272.45	251.25	230.7	214.15	210.3
304.15	282.3	260.8	239.65	223.2	219
304.15	282.3	260.8	239.65	223.2	219
297.9	276.2	254.9	233.6	217.8	213.75
288.05	266.95	245.85	225.05	208.8	204.9
286.3	264.8	244	223.1	207.2	202.9
273.4	252.1	231.45	211.15	195.55	191.55
274.2	252.9	231.95	211.5	195.4	191.6
267.3	246.1	225.5	205.25	189.45	185.65
286.35	264.4	243.25	222.45	205.75	202.15
281.5	259.8	238.5	217.75	201.75	197.45
290.2	268.4	246.7	225.6	208.75	205
298.3	276.25	254.55	233.4	216.5	212.4
301.75	279.65	258.1	236.55	219.8	215.7
291.2	269.6	247.95	227	210.7	206.45
280.3	258.85	237.7	217.1	200.75	196.45
269.95	247.85	227.15	206.95	190.85	187.4
271.1	249.8	228.95	208.55	193.8	189.95
